0,1,2,3,4,5
0.95,0.05,0.9286299108928869,0.07137008910711311,0.8938711040275195,0.10612889597248044
0.75,0.25,0.8995875532702549,0.10041244672974509,0.8011989261778613,0.19880107382213885
0.36,0.64,0.34282074579703037,0.6571792542029696,0.2578773470739669,0.7421226529260331
0.4,0.6,0.40072566877148996,0.59927433122851,0.29186737142694463,0.7081326285730554
0.91,0.09,0.9530474245862971,0.04695257541370286,0.866707444081212,0.13329255591878808
0.67,0.33,0.4220674779418875,0.5779325220581125,0.4072121190674256,0.5927878809325745
0.99,0.01,0.9816531415048024,0.018346858495197526,0.8517262594330746,0.14827374056692544
1.0,0.0,0.9895478412777602,0.010452158722239853,0.8489222578833537,0.15107774211664646
0.4,0.6,0.570381224712848,0.429618775287152,0.6077795268915254,0.3922204731084747
1.0,0.0,0.956442490665347,0.04355750933465292,0.8511930612959725,0.14880693870402764
0.63,0.37,0.521522318949668,0.4784776810503319,0.5696495462964001,0.43035045370359976
0.81,0.19,0.8066531849051559,0.19334681509484414,0.8337422281249155,0.16625777187508442
0.99,0.01,0.9559670835364608,0.044032916463539205,0.8489849806463885,0.15101501935361136
0.76,0.24,0.6987181126856197,0.30128188731438027,0.8607890017725965,0.13921099822740357
1.0,0.0,0.9763069011900889,0.02369309880991112,0.9128494243154265,0.08715057568457367
0.98,0.02,0.9687902524002993,0.031209747599700768,0.8948691613263576,0.10513083867364244
0.94,0.06,0.9288832037942875,0.07111679620571257,0.8620997324519872,0.1379002675480127
1.0,0.0,0.974282793504669,0.025717206495331085,0.8982117004398897,0.10178829956011004
1.0,0.0,0.9858731926682885,0.014126807331711504,0.8496318195374042,0.15036818046259573
0.97,0.03,0.9101927329214035,0.0898072670785966,0.867767034753015,0.13223296524698508
0.59,0.41,0.5240556645928762,0.4759443354071237,0.7997669075000773,0.20023309249992272
0.96,0.04,0.9633446075025021,0.036655392497497885,0.8320468392091783,0.16795316079082173
1.0,0.0,0.9848992765999449,0.015100723400055138,0.8595446909226278,0.14045530907737233
0.98,0.02,0.955520139296844,0.04447986070315599,0.8525830522732112,0.14741694772678882
0.95,0.05,0.9207675011696169,0.07923249883038308,0.9004215128541312,0.09957848714586873
0.99,0.01,0.9578602129533584,0.04213978704664151,0.8556920447322216,0.14430795526777865
0.44,0.56,0.3033458189022925,0.6966541810977075,0.19077394506207526,0.8092260549379248
0.5,0.5,0.5496615095852676,0.4503384904147324,0.7055654019763234,0.2944345980236764
0.93,0.07,0.9162909689690808,0.08370903103091921,0.85311074174679,0.1468892582532098
0.93,0.07,0.9110740415872169,0.08892595841278311,0.9016870563055183,0.09831294369448172
0.31,0.69,0.4706773342402588,0.5293226657597412,0.3190842285279116,0.6809157714720884
0.23,0.77,0.25426832550824896,0.745731674491751,0.18931084020832648,0.8106891597916739
0.91,0.09,0.9389691137309187,0.06103088626908123,0.8814740621557976,0.11852593784420237
0.71,0.29,0.6966841275304649,0.30331587246953506,0.8740026254839024,0.12599737451609752
0.99,0.01,0.9532949217880305,0.04670507821196948,0.8963958971182381,0.10360410288176193
0.93,0.07,0.9617876650514037,0.03821233494859637,0.8935557753094805,0.10644422469051962
0.59,0.41,0.6088150456483428,0.3911849543516572,0.728464285461627,0.2715357145383729
0.79,0.21,0.9021099395030541,0.09789006049694589,0.8349500877371546,0.1650499122628455
0.66,0.34,0.7396334463565454,0.2603665536434546,0.8084363219515017,0.19156367804849833
0.64,0.36,0.6739142054894043,0.3260857945105957,0.8525330356441899,0.14746696435581003
0.91,0.09,0.956877157756732,0.04312284224326797,0.8475506272193674,0.15244937278063267
1.0,0.0,0.9816531415048024,0.018346858495197526,0.8521750471475152,0.1478249528524847
0.252,0.748,0.5134724214802114,0.48652757851978856,0.8466887980468211,0.153311201953179
0.45,0.55,0.7445227214749901,0.25547727852500984,0.8424421661071331,0.15755783389286698
0.77,0.23,0.7876788783215296,0.21232112167847034,0.8541428073177065,0.1458571926822934
0.89,0.11,0.903314811330532,0.09668518866946801,0.8608942215831323,0.13910577841686766
0.58,0.42,0.2114359240998832,0.7885640759001168,0.2032516588546533,0.7967483411453465
0.3,0.7,0.43866384025709104,0.561336159742909,0.6304875281826736,0.3695124718173265
0.96,0.04,0.9673974115690905,0.03260258843090945,0.9151437116153828,0.08485628838461724
0.64,0.36,0.579873375030457,0.42012662496954306,0.6071107869962097,0.3928892130037903
0.88,0.12,0.949148628998144,0.050851371001856,0.8745856450271455,0.12541435497285455
0.36,0.64,0.3786934946230536,0.6213065053769464,0.547293576210897,0.4527064237891029
0.94,0.06,0.9351647280156357,0.06483527198436437,0.8717334275080344,0.12826657249196569
0.8,0.2,0.7868121914737531,0.21318780852624686,0.8461644137602378,0.15383558623976226
0.65,0.35,0.5542679752760937,0.4457320247239063,0.49120398182655417,0.5087960181734458
0.32,0.68,0.3923771109403773,0.6076228890596227,0.8223708117885488,0.17762918821145154
0.65,0.35,0.60611876345285,0.39388123654714996,0.7654742673938372,0.23452573260616275
0.84,0.16,0.844361691803452,0.15563830819654795,0.8466514429736907,0.15334855702630926
0.735,0.265,0.6421006672616046,0.35789933273839536,0.8456125775205701,0.15438742247942983
0.63,0.37,0.5603572449510834,0.43964275504891653,0.7773844679324531,0.22261553206754683
0.92,0.08,0.7457438948526403,0.25425610514735975,0.8565177656067178,0.1434822343932823
0.84,0.16,0.9342267652748983,0.0657732347251016,0.8250304495381441,0.17496955046185594
0.93,0.07,0.9424607052231526,0.0575392947768474,0.8694707920450886,0.13052920795491152
0.82,0.18,0.8720751510013647,0.12792484899863538,0.8211835808471979,0.1788164191528021
0.6,0.4,0.439203118948741,0.560796881051259,0.4366252819562156,0.5633747180437844
0.87,0.13,0.8896560767295534,0.11034392327044656,0.8938452448056885,0.10615475519431147
0.91,0.09,0.9193149028601286,0.08068509713987135,0.8503060491201117,0.14969395087988818
0.67,0.33,0.5099266692930016,0.4900733307069985,0.6957417967931984,0.3042582032068017
0.77,0.23,0.8223626257476311,0.17763737425236892,0.8962122600978333,0.10378773990216687
0.64,0.36,0.5070545375535339,0.4929454624464661,0.6619192347412314,0.33808076525876857
0.96,0.04,0.9717602534400578,0.028239746559942158,0.8221330665252893,0.17786693347471091
0.53,0.47,0.6102348266233991,0.3897651733766009,0.5174972284365785,0.4825027715634213
1.0,0.0,0.969611806586971,0.030388193413029004,0.8917973658549195,0.10820263414508065
0.98,0.02,0.9769868721278596,0.023013127872140406,0.8648101626907136,0.13518983730928635
0.75,0.25,0.7557126027544037,0.2442873972455963,0.8657411158127342,0.1342588841872658
0.03,0.97,0.19666606761266958,0.8033339323873304,0.07747187004124613,0.9225281299587539
0.49,0.51,0.6777171180560639,0.322282881943936,0.7908597290507792,0.209140270949221
1.0,0.0,0.9799965337619132,0.020003466238086832,0.850696580296494,0.14930341970350594
0.2,0.8,0.21572648989144794,0.7842735101085521,0.2590152750925526,0.7409847249074475
0.29,0.71,0.30380509720778226,0.6961949027922177,0.32990218174553015,0.6700978182544698
0.98,0.02,0.9562532090577659,0.043746790942234125,0.8491862062478781,0.15081379375212167
0.65,0.35,0.8854449803949691,0.11455501960503087,0.8341131539577703,0.16588684604222975
0.18,0.82,0.28897715777869337,0.7110228422213066,0.3172133203686204,0.6827866796313797
1.0,0.0,0.9883914498072515,0.011608550192748483,0.8529473092886161,0.14705269071138388
0.29,0.71,0.23221712493611624,0.7677828750638838,0.2590690286500218,0.7409309713499781
0.63,0.37,0.5417842525074319,0.45821574749256805,0.7666156695875433,0.2333843304124565
0.92,0.08,0.9215477656857706,0.07845223431422939,0.8457059168298162,0.1542940831701837
0.98,0.02,0.9572808450866828,0.04271915491331718,0.9047330282797224,0.09526697172027769
0.37,0.63,0.30132321136935936,0.6986767886306406,0.2047453394195236,0.7952546605804764
0.33,0.67,0.35960381766352467,0.6403961823364753,0.5279939087301327,0.4720060912698673
0.89,0.11,0.8942681165195798,0.10573188348042013,0.9164636609587753,0.0835363390412245
0.6,0.4,0.5241942656235736,0.47580573437642637,0.757517815062577,0.24248218493742305
0.27,0.73,0.5172623568023017,0.4827376431976983,0.343141283499865,0.6568587165001349
0.33,0.67,0.4288956296705423,0.5711043703294577,0.43878361215023604,0.5612163878497641
1.0,0.0,0.980227129497194,0.019772870502806,0.8490694123382717,0.1509305876617283
